JobID,JobName,CPUTime,CPUTimeRAW,Elapsed,TotalCPU,MaxRSS,State,ExitCode
47403424,batch,00:40:53,2453,00:40:53,06:42.658,0.75G,COMPLETED,0:0
47403425,batch,00:41:09,2469,00:41:09,06:40.840,0.76G,COMPLETED,0:0
47403426,batch,00:41:03,2463,00:41:03,06:39.733,0.77G,COMPLETED,0:0
47403427,batch,00:40:51,2451,00:40:51,06:44.694,0.78G,COMPLETED,0:0
47403428,batch,00:33:40,2020,00:33:40,06:38.663,0.76G,COMPLETED,0:0
47403429,batch,00:36:56,2216,00:36:56,06:42.062,0.78G,COMPLETED,0:0
47403430,batch,00:38:50,2330,00:38:50,06:43.402,0.78G,COMPLETED,0:0
47403431,batch,00:39:48,2388,00:39:48,06:44.789,0.76G,COMPLETED,0:0
47403432,batch,00:35:04,2104,00:35:04,06:44.885,0.76G,COMPLETED,0:0
47403433,batch,00:40:41,2441,00:40:41,06:48.205,0.77G,COMPLETED,0:0
47403434,batch,00:40:11,2411,00:40:11,06:47.244,0.77G,COMPLETED,0:0
47403435,batch,00:46:44,2804,00:46:44,06:41.941,0.78G,COMPLETED,0:0
47403436,batch,00:48:39,2919,00:48:39,06:48.886,0.73G,COMPLETED,0:0
47403437,batch,00:49:02,2942,00:49:02,06:42.993,0.73G,COMPLETED,0:0
47403438,batch,00:48:39,2919,00:48:39,06:43.970,0.76G,COMPLETED,0:0
47403439,batch,00:49:06,2946,00:49:06,06:44.527,0.76G,COMPLETED,0:0
47403440,batch,00:49:08,2948,00:49:08,06:46.511,0.75G,COMPLETED,0:0
47403441,batch,00:49:32,2972,00:49:32,06:46.293,0.77G,COMPLETED,0:0
47403442,batch,00:49:05,2945,00:49:05,06:45.542,0.75G,COMPLETED,0:0
47403443,batch,00:50:09,3009,00:50:09,06:43.051,0.78G,COMPLETED,0:0
47403444,batch,00:50:05,3005,00:50:05,06:47.746,0.75G,COMPLETED,0:0
47403445,batch,00:50:00,3000,00:50:00,06:44.907,0.76G,COMPLETED,0:0
